Status,Module,File Time Stamp,Link Time Stamp,File Size,Attr.,Link Checksum,Real Checksum,CPU,Subsystem,Symbols,Preferred Base,Actual Base,Virtual Size,Load Order,File Ver,Product Ver,Image Ver,Linker Ver,OS Ver,Subsystem Ver
?,"API-MS-WIN-CORE-KERNEL32-PRIVATE-L1-1-1.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
?,"API-MS-WIN-CORE-PRIVATEPROFILE-L1-1-1.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"API-MS-WIN-CORE-SHUTDOWN-L1-1-1.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
?,"API-MS-WIN-SERVICE-PRIVATE-L1-1-1.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"EXT-MS-WIN-NTUSER-UICONTEXT-EXT-L1-1-0.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D?,"IESHIMS.DLL","Error opening file. The system cannot find the file specified (2).",,,,,,,,,,,,,,,,,,
D,"DBGHELP.DLL",2014-01-27 17:00:35,2014-01-27 17:00:28,1238016,A,0x0013A9B6,0x0013A9B6,x86,Console,"CV",0x03000000,Unknown,0x00148000,Not Loaded,6.3.9600.16520,6.3.9600.16520,6.3,11.0,6.3,6.3
D,"ADSLDPC.DLL",2013-08-22 04:02:37,2013-08-22 04:02:36,215040,A,0x0003E44C,0x0003E44C,x86,Console,"CV",0x10000000,Unknown,0x00038000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-APPMODEL-IDENTITY-L1-1-0.DLL",2013-08-22 04:14:10,2013-08-22 04:14:10,3072,HA,0x00006DFD,0x00006DFD,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-APPMODEL-RUNTIME-INTERNAL-L1-1-0.DLL",2013-08-22 04:13:28,2013-08-22 04:13:28,3584,HA,0x00008213,0x00008213,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-APPMODEL-RUNTIME-L1-1-0.DLL",2013-08-22 04:14:12,2013-08-22 04:14:12,3072,HA,0x0000E049,0x0000E049,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-APPMODEL-RUNTIME-L1-1-1.DLL",2013-08-22 04:14:13,2013-08-22 04:14:13,3584,HA,0x00006572,0x00006572,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-BASE-UTIL-L1-1-0.DLL",2013-08-22 04:14:44,2013-08-22 04:14:44,3072,HA,0x0000ED1C,0x0000ED1C,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-APIQUERY-L1-1-0.DLL",2013-08-22 04:17:20,2013-08-22 04:17:20,2560,HA,0x00006887,0x00006887,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-APPCOMPAT-L1-1-1.DLL",2013-08-22 04:17:15,2013-08-22 04:17:15,3584,HA,0x00007682,0x00007682,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-APPINIT-L1-1-0.DLL",2013-08-22 04:17:35,2013-08-22 04:17:35,2560,HA,0x00006D8F,0x00006D8F,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-ATOMS-L1-1-0.DLL",2013-08-22 04:17:15,2013-08-22 04:17:15,3584,HA,0x0000AF80,0x0000AF80,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-BEM-L1-1-0.DLL",2013-08-22 04:17:20,2013-08-22 04:17:20,2560,HA,0x00002E01,0x00002E01,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-CORE-BIPLMAPI-L1-1-1.DLL",2013-08-22 04:14:13,2013-08-22 04:14:13,3584,HA,0x00001A3D,0x00001A3D,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
D,"API-MS-WIN-CORE-CALENDAR-L1-1-0.DLL",2013-08-22 04:14:46,2013-08-22 04:14:46,3072,HA,0x000010C9,0x000010C9,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
E,"API-MS-WIN-CORE-COM-L1-1-0.DLL",2013-08-22 04:14:21,2013-08-22 04:14:21,5632,HA,0x0000F342,0x0000F342,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-COM-L1-1-1.DLL",2013-08-22 04:14:23,2013-08-22 04:14:23,5632,HA,0x0000B22C,0x0000B22C,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-COM-PRIVATE-L1-1-0.DLL",2013-08-22 04:12:54,2013-08-22 04:12:54,6144,HA,0x00003F6B,0x00003F6B,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-COMM-L1-1-0.DLL",2013-08-22 04:14:45,2013-08-22 04:14:45,3584,HA,0x0000EAEF,0x0000EAEF,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-CONSOLE-L1-1-0.DLL",2013-08-22 04:14:48,2013-08-22 04:14:48,3584,HA,0x000090A4,0x000090A4,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-CONSOLE-L2-1-0.DLL",2013-08-22 04:14:45,2013-08-22 04:14:45,4096,HA,0x00001528,0x00001528,x86,Console,"CV",0x10000000,Unknown,0x00004000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
,"API-MS-WIN-CORE-CRT-L1-1-0.DLL",2013-08-22 04:17:34,2013-08-22 04:17:34,4608,HA,0x00002592,0x00002592,x86,Console,"CV",0x10000000,Unknown,0x00003000,Not Loaded,6.3.9600.16384,6.3.9600.16384,6.3,11.0,6.3,6.3
